price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,yr_built,yr_renovated,city
313000.0,3.0,1.5,1340,7912,1.5,0,0,3,1955,2005,Shoreline
2384000.0,5.0,2.5,3650,9050,2.0,0,4,5,1921,0,Seattle
342000.0,3.0,2.0,1930,11947,1.0,0,0,4,1966,0,Kent
420000.0,3.0,2.25,2000,8030,1.0,0,0,4,1963,0,Bellevue
550000.0,4.0,2.5,1940,10500,1.0,0,0,4,1976,1992,Redmond
490000.0,2.0,1.0,880,6380,1.0,0,0,3,1938,1994,Seattle
335000.0,2.0,2.0,1350,2560,1.0,0,0,3,1976,0,Redmond
482000.0,4.0,2.5,2710,35868,2.0,0,0,3,1989,0,Maple Valley
452500.0,3.0,2.5,2430,88426,1.0,0,0,4,1985,0,North Bend
640000.0,4.0,2.0,1520,6200,1.5,0,0,3,1945,2010,Seattle
463000.0,3.0,1.75,1710,7320,1.0,0,0,3,1948,1994,Lake Forest Park
1400000.0,4.0,2.5,2920,4000,1.5,0,0,5,1909,1988,Seattle
588500.0,3.0,1.75,2330,14892,1.0,0,0,3,1980,0,Sammamish
365000.0,3.0,1.0,1090,6435,1.0,0,0,4,1955,2009,Seattle
1200000.0,5.0,2.75,2910,9480,1.5,0,0,3,1939,1969,Seattle
242500.0,3.0,1.5,1200,9720,1.0,0,0,4,1965,0,Kent
419000.0,3.0,1.5,1570,6700,1.0,0,0,4,1956,0,Bellevue
367500.0,4.0,3.0,3110,7231,2.0,0,0,3,1997,0,Auburn
257950.0,3.0,1.75,1370,5858,1.0,0,0,3,1987,2000,Des Moines
275000.0,3.0,1.5,1180,10277,1.0,0,0,3,1983,2009,North Bend
750000.0,3.0,1.75,2240,10578,2.0,0,0,5,1923,0,Seattle
435000.0,4.0,1.0,1450,8800,1.0,0,0,4,1954,1979,Bellevue
626000.0,3.0,2.25,1750,1572,2.5,0,0,3,2005,0,Seattle
612500.0,4.0,2.5,2730,12261,2.0,0,0,3,1991,0,Bothell
495000.0,4.0,1.75,1600,6380,1.0,0,0,3,1959,1989,Seattle
285000.0,3.0,2.5,2090,10834,1.0,0,0,4,1987,0,Federal Way
615000.0,3.0,1.75,2360,7291,1.0,0,0,4,1948,0,Seattle
698000.0,4.0,2.25,2200,11250,1.5,0,0,5,1920,0,Kirkland
675000.0,5.0,2.5,2820,67518,2.0,0,0,3,1979,2014,Issaquah
790000.0,3.0,2.5,2600,4750,1.0,0,0,4,1951,1999,Seattle
382500.0,4.0,1.75,1560,8700,1.0,0,0,4,1967,0,Kirkland
499950.0,4.0,2.5,2860,3345,2.0,0,0,3,2004,2003,Woodinville
650000.0,4.0,2.0,1820,5000,1.5,0,1,3,1945,2010,Seattle
625000.0,4.0,2.5,2820,8408,2.0,0,0,3,2014,0,Shoreline
400000.0,4.0,2.5,3630,42884,1.5,0,0,3,1979,2014,Auburn
604000.0,3.0,2.5,3240,33151,2.0,0,2,3,1995,0,Federal Way
440000.0,2.0,1.0,800,4850,1.0,0,0,4,1944,0,Seattle
287200.0,3.0,3.0,1850,19966,1.0,0,0,4,1992,0,Maple Valley
403000.0,3.0,2.0,1960,13100,1.0,0,2,5,1957,0,Normandy Park
750000.0,3.0,2.5,2390,6550,1.0,0,2,4,1955,2009,Seattle
335000.0,3.0,2.25,1580,16215,1.0,0,0,4,1978,2000,Fall City
260000.0,4.0,2.0,1480,8625,1.0,0,0,4,1974,0,Renton
308500.0,2.0,1.0,850,6174,1.0,0,0,4,1950,1983,Shoreline
439950.0,3.0,2.5,1770,2875,2.0,0,0,3,1990,2009,Seattle
235000.0,2.0,1.0,1210,9400,1.0,0,0,2,1949,0,Seattle
315000.0,3.0,1.0,1160,9180,1.0,0,0,3,1968,1997,Woodinville
437500.0,3.0,2.25,1970,35100,2.0,0,0,4,1977,0,Issaquah
407500.0,3.0,2.5,1930,10460,2.0,0,0,3,1996,0,Renton
445700.0,3.0,2.5,1270,1180,3.0,0,0,3,2001,0,Seattle
838000.0,4.0,2.5,3310,42998,2.0,0,0,3,2001,0,Redmond
630000.0,4.0,2.75,2710,37277,2.0,0,0,3,2000,0,Issaquah
550000.0,3.0,1.75,2910,35200,1.5,0,0,3,1979,2014,Sammamish
805000.0,3.0,2.0,2710,4500,1.5,0,0,4,1929,0,Seattle
284000.0,3.0,1.75,1800,23103,1.0,0,0,3,1968,1997,Carnation
470000.0,5.0,2.5,2210,9655,1.0,0,0,3,1976,0,Bothell
430000.0,4.0,1.5,1920,10000,1.0,0,0,4,1954,1979,Bellevue
491500.0,4.0,1.75,2190,125452,1.0,0,2,3,1968,1997,Auburn
785000.0,5.0,3.25,3660,11995,2.0,0,2,3,2006,0,Snoqualmie
385000.0,3.0,3.25,1320,1327,2.0,0,0,3,2008,0,Seattle
295000.0,2.0,2.5,1630,1368,2.0,0,0,3,2009,0,Seattle
555000.0,4.0,2.5,3310,6500,2.0,0,0,3,2012,1912,Snoqualmie
459990.0,3.0,2.5,2680,5539,2.0,0,0,3,2013,1923,North Bend
625000.0,4.0,3.25,2730,54014,1.0,0,0,3,2007,0,Renton
300000.0,3.0,2.5,2540,5050,2.0,0,0,3,2006,0,Kent
625000.0,4.0,2.75,2920,6605,2.0,0,0,3,2012,1912,Renton
553000.0,2.0,1.0,900,5000,1.0,0,0,3,1944,0,Seattle
379880.0,3.0,2.5,1650,14054,1.0,0,0,4,1986,0,Issaquah
310000.0,3.0,1.0,1010,9945,1.0,0,0,4,1973,0,Snoqualmie
775000.0,2.0,2.5,2680,7392,1.0,0,0,3,2004,2003,Redmond
365000.0,3.0,2.5,2200,7350,1.0,0,0,5,1988,0,Renton
331950.0,4.0,2.5,2530,9933,2.0,0,2,3,1990,2009,Auburn
783500.0,3.0,2.5,2850,7130,2.0,0,0,3,1980,0,Seattle
628000.0,4.0,2.0,2280,6010,1.0,0,0,3,1900,2005,Seattle
560000.0,3.0,2.5,1900,8744,2.0,0,0,3,1987,2000,Sammamish
900000.0,3.0,1.0,1330,77972,1.0,0,0,3,1928,1954,Kirkland
531000.0,2.0,3.0,1270,1175,2.0,0,0,3,2000,0,Seattle
831000.0,4.0,3.0,2170,4000,2.0,0,0,4,1982,2011,Seattle
780000.0,4.0,2.5,2730,10281,2.0,0,2,3,1996,0,Sammamish
755000.0,4.0,2.5,2120,10202,1.0,0,0,4,1960,2001,Bellevue
705380.0,3.0,2.5,2490,4343,2.0,0,0,3,2003,0,Issaquah
627000.0,4.0,2.25,1990,7712,1.0,0,0,3,1973,2013,Issaquah
865000.0,4.0,3.0,3690,9892,2.0,0,0,3,1998,2006,Sammamish
580000.0,2.0,1.0,2540,7000,1.0,0,0,5,1942,0,Seattle
410000.0,3.0,2.25,1800,36704,1.0,0,0,4,1978,2000,Issaquah
485000.0,4.0,3.0,2340,7048,1.0,0,0,4,1979,0,Kirkland
400000.0,2.0,1.75,2110,9519,1.0,0,0,2,1948,0,Shoreline
549000.0,2.0,1.0,1140,5400,1.0,0,0,5,1908,0,Seattle
620000.0,3.0,1.75,1480,2185,2.5,0,0,3,2005,0,Kirkland
405000.0,2.0,3.0,1410,1240,2.0,0,0,3,2006,0,Seattle
232000.0,2.0,1.0,1200,8063,1.0,0,0,4,1958,1972,Des Moines
800866.0,5.0,2.5,3180,13806,2.0,0,0,4,1990,0,Kirkland
650000.0,3.0,1.5,2160,9000,1.0,0,2,4,1949,1985,Seattle
823000.0,6.0,1.75,2920,5000,2.5,0,0,4,1908,0,Seattle
770000.0,3.0,2.0,2350,5700,1.5,0,0,4,1939,1989,Seattle
524000.0,3.0,1.75,1560,5520,1.0,0,0,4,1944,0,Seattle
541125.0,5.0,2.75,2740,8426,1.0,0,0,4,1960,2001,Bellevue
670000.0,3.0,2.5,1680,2000,3.0,0,0,3,1909,1998,Seattle
384900.0,5.0,2.5,3090,12750,1.0,0,0,3,1968,1997,Federal Way
406100.0,3.0,2.25,1410,1332,3.0,0,0,3,2005,0,Seattle
1395000.0,5.0,3.5,4010,8510,2.0,0,1,5,1971,0,Seattle
736500.0,4.0,2.5,3180,21904,2.0,0,3,3,2000,0,Renton
